string_internet_via_lan;Internet via LAN;Internet über LAN
string_edit_last_surveyed_point__s;Edit last surveyed point %s;Zuletzt vermessenen Punkt %s bearbeiten
string_wrong_msint;Wrong msint;Falsche msint
string_set_enu;Set ENU;ENU setzen
string_this_sv_is_excluded_from_position_computation_by_the_user;This SV is excluded from position computation by the user;Dieser SV wird vom Anwender von der Positionsberechnung ausgeschlossen
string_starting_radio___;Starting radio&#8230||;Funk starten&#8230||
string_angle_is_empty_;Angle is empty!;Winkel ist leer!
string_static__1_s_logging_to_file__2_s_is_in_progress__n_3_s_overwriting_;Static %1$s logging to file %2$s is in progress!\n%3$s overwriting!;Statische %1$s Aufzeichnung in Datei %2$s läuft!\n%3$s Überschreiben!
string_record_naudio;Record\nAudio;Aufzeichnen\nAudio
string_create_route;Create Route;Route erstellen
string_can_t_activate_3g_gprs__n_n;Can\'t activate 3G/GPRS!\n\n;Kann 3G/GPRS nicht aktivieren!\n\n
string_setup_rtk_computation_mode_error;Setup RTK computation mode error;RTK-Berechnungsmodus einrichten Fehler
string_4th_control_point;4th Control Point;4. Kontrollpunkt
string_remote_surveying_on_ts_is_off;Remote surveying on TS is off;Fernvermessung auf TS ist ausgeschaltet
string_wifi_status;WiFi status;WiFi-Status
string_event__s_is_written_ok;Event %s is written OK;Ereignis %s wird geschrieben OK
string_stopped;Stopped;Gestoppt
string_stopping_rtk___;Stopping RTK&#8230||;RTK stoppen&#8230||
string_dist_1;Dist.1;Strecke.1
string_dist_2;Dist.2;Dist.2
string_more_corrections___;MORE CORRECTIONS &gt||&gt||;MEHR KORREKTUREN &gt||&gt||
string_power__1__3fw__2_ddbm_;Power:%1$.3fW(%2$ddBm);Leistung:%1$.3fW(%2$ddBm)
string_what_to_do_with_point__1_s_;What to do with point %1$s?;Was ist mit Punkt %1$s zu tun?
string_edit_last_surveyed_trajectory__s;Edit last surveyed trajectory %s;Letzte vermessene Trajektorie %s bearbeiten
string_mapprovider;MapProvider;MapProvider
string_stop_go_logging_to_file__1_s_is_in_progress_;Stop-Go logging to file %1$s is in progress!;Stop-Go-Protokollierung in Datei %1$s ist im Gange!
string_no_fixed_position;No Fixed Position;Keine feste Position
string_offset_;Offset:;Versatz:
string_wrong_ntripserver_address_;Wrong NtripServer Address!;Falsche NtripServer-Adresse!
string_create;Create;erstellen
string_design_points;Design Points;Konstruktionspunkte
string_correction_source;New Correction Source;Neue Korrekturquelle
string_debug_stopped;Debug stopped;Debug gestoppt
string_frequency__d_hz;Frequency:%d Hz;Frequenz:%d Hz
string_mount_point_;Mount Point:;Montagepunkt:
string_frequency_should_be_from__1_d_to__2_d;Frequency should be from %1$d to %2$d;Frequenz sollte von %1$d bis %2$d sein
string__u00b0c;\u00B0C;\u00B0C
string_p_l1_and_l2c_measurements_are_used_in_rtk_processing;P/L1 and L2C measurements are used in RTK processing;P/L1- und L2C-Messungen werden in der RTK-Verarbeitung verwendet
string_connected;connected;angeschlossen
string_survey_is_starting___;Survey is starting&#8230||;Vermessung wird gestartet&#8230||
string_mount_points;mount points;Punkte montieren
string_can_t_turn_off_glonass_using_;Can\'t turn off GLONASS using!;Kann die Verwendung von GLONASS nicht abschalten!
string_descriptions;Descriptions;Beschreibungen
string_traverse;Traverse;Traverse
string_please_wait__;Please Wait!!;Bitte warten!!!
string_remote_surveying_on_ts_is_on;Remote surveying on TS is on;Fernvermessung auf TS ist eingeschaltet
string_rtcm3_cs_changed_during_survey_;RTCM3 CS changed during survey!;RTCM3 CS wurde während der Vermessung geändert!
string_job_archiving_is_off;Job archiving is off;Auftragsarchivierung ist ausgeschaltet
string_set_current_height_as_reference_;Set current height as reference?;Aktuelle Höhe als Referenz setzen?
string_attempt_to_use_the_same_qr_code_twice_;Attempt to use the same QR-code twice!;Versuch, den gleichen QR-Code zweimal zu verwenden!
string_ephemeris_is_not_available;Ephemeris is not available;Ephemeriden sind nicht verfügbar
string_delete_style;Delete;löschen
string_collect__dep_;Collect %dep.;Sammeln Sie %dep.
string_do_you_want_to_delete_style__s_;Do you want to delete style %s?;Möchten Sie den Stil %s löschen?
string_cogo_2_distance_task__;Cogo 2-Distance task..;Cogo 2-Distanz-Aufgabe..
string_surveying_is_over;Surveying is over;Vermessung ist beendet
string_connect;Connect;Verbinden
string_yes;yes;ja
string_area_;Area:;Bereich:
string_course_up;Course Up;Kurs oben
string_can_t_enter_internet__ncheck_your_connection__n;Can\'t enter Internet.\nCheck your connection!\n;Kann nicht ins Internet.\nPrüfen Sie Ihre Verbindung!\n
string_wrong_frequency_;Wrong frequency!;Falsche Frequenz!
string_confirmation;Confirmation;Bestätigen Sie
string_connected_to_internal_modem;connected to Internal Modem;mit internem Modem verbunden
string_new_jcors_style;new JCors style;neuer JCors-Stil
string_p_l2_and_l5_slot_are_used_in_rtk_processing;P/L2 and L5 slot are used in RTK processing;P/L2- und L5-Steckplatz werden bei der RTK-Verarbeitung verwendet
string_resume;Resume;Fortsetzen
string_channel_rate_is_not_enough_for_the_corrections_;Channel Rate is not enough for the corrections!;Kanalrate ist nicht ausreichend für die Korrekturen!
string_systerms;Systerms;Systerms
string_reading_setting___;Reading setting&#8230||;Einstellung lesen&#8230||
string_can_t_turn_on_use_l5_e5a_;Can\'t turn on use L5/E5a!;Can\'t turn on use L5/E5a!
string_can_t_start_uhf_radio;Can\'t start UHF radio;Kann UHF-Radio nicht einschalten
string_can_t_turn_on_sbas_using_;Can\'t turn on SBAS using!;Kann SBAS mit nicht einschalten!
string_correction_started_;Correction started.;Korrektur gestartet.
string_ref_frame;Ref.Frame;Ref.Rahmen
string_c_a_l1__l2c__and_l5_slots_are_used_in_rtk_processing;C/A L1, L2C, and L5 slots are used in RTK processing;C/A L1-, L2C- und L5-Slots werden in der RTK-Verarbeitung verwendet
string_wrong_frequecy_;Wrong frequecy!;Falsche Frequenz!
string_file__1_s_at__2__0fsec;File %1$s at %2$.0fsec;Datei %1$s bei %2$.0fsec
string_can_t_setup_wifi_wpa_password;Can\'t setup WiFi WPA password;WiFi-WPA-Passwort kann nicht eingerichtet werden
string_rtk_rate_;RTK Rate:;RTK-Rate:
string_error;Error;Fehler
string_can_t_convert_coordinate_to_cws_;Can\'t convert coordinate to CWS!;Kann Koordinate nicht in CWS konvertieren!
string_no_background;No Background;Kein Hintergrund
string_moving;Moving;Bewegt sich
string_can_t_turn_off_irnss_using_;Can\'t turn off IRNSS using!;Kann IRNSS mit nicht abschalten!
string_do_you_want_to_switch_to_filemanager_and_download_raw_file_;Do you want to switch to FileManager and download raw file?;Möchten Sie zum FileManager wechseln und die Rohdatei herunterladen?
string_float;Float;Schweben
string_aim_to_target;Aim to target;Ziel anvisieren
string_delete_point__s;Delete point %s;Punkt %s löschen
string_can_t_turn_on_use_p_l2_;Can\'t turn on use P/L2!;Kann die Verwendung von P/L2 nicht einschalten!
string_last_ndescriptions;Last\nDescriptions;Last\nBeschreibungen
string_can_t_setup_wifi_wep_password;Can\'t setup WiFi WEP password;Kann WiFi WEP-Passwort nicht einrichten
string_can_t_activate_wifi__ncheck_access_point__n;Can\'t activate WiFi!\nCheck Access Point!\n;Kann WiFi nicht aktivieren!\nZugangspunkt überprüfen!\n
string_bad_sol_;Bad Sol.;Schlechte Sol.
string___0f_sec;%.0f Sec;%.0f Sec
string_device_is_not_registered_in_jcors;Device is not registered in JCors;Gerät ist nicht in JCors registriert
string_can_t_set_wifi_mode;Can\'t set WiFi mode;Kann den WiFi-Modus nicht einstellen
string__id__d_;(id:%d);(id:%d)
string_catalog_points;Catalog Points;Katalog Punkte
string_wrong_ip_port_;Wrong IP Port!;Falscher IP-Port!
string_distance1_is_empty_;Distance1 is empty!;Entfernung1 ist leer!
string_new_fh_radio;new FH radio;neues FH-Funkgerät
string_station_has_to_be_start_to_do_survey;Station has to be start to do survey;Station muss zur Vermessung gestartet werden
string_calibration_matrix_is;Calibration matrix is;Kalibrierungsmatrix ist
string_min_trajectory_nlength;Min.Trajectory\nLength;Min.Trajektorie\nLänge
string_sv_with_this_frequency_channel_number_is_excluded_from_position_computation_by_the_user;SV with this frequency channel number is excluded from position computation by the user;SV mit dieser Frequenzkanalnummer wird vom Anwender von der Positionsberechnung ausgeschlossen
string_wrong_port_;Wrong port!;Falscher Port!
string_can_t_setup_wifi_server_mode;Can\'t setup WiFi Server mode;Kann den WiFi-Server-Modus nicht einrichten
string_ntrip_error;Ntrip Error;Ntrip Fehler
string_coarse_code_outlier_has_been_detected;Coarse code outlier has been detected;Grober Code-Ausreißer wurde erkannt
string_can_t_turn_on_use_p_l1_;Can\'t turn on use P/L1!;Kann die Verwendung von P/L1 nicht einschalten!
string_tcpo_port_;TCPO Port:;TCPO Port:
string_cancel;Cancel;Abbrechen
string_transparent_pars_;Transparent pars.;Transparente Pars.
string_logging_to_file__s_is_in_progress_;Logging to file %s is in progress!;Protokollierung in Datei %s wird durchgeführt!
string_can_t_turn_on_beidou_using_;Can\'t turn on BeiDou using!;Can\'t turn on BeiDou using!
string_setup_ok;Setup OK;Einrichtung OK
string_save_anyway_and_close;Save anyway and close;Trotzdem speichern und schließen
string_ext_uhf;Ext.UHF;Ext.UHF
string_login_;Login:;Anmeldung:
string_apply_and_save;Apply and Save;Übernehmen und speichern
string_settings_ok;Settings OK;Einstellungen OK
string_can_t_turn_off_sbas_tracking_;Can\'t turn off SBAS tracking!;Kann SBAS-Tracking nicht abschalten!
string_3g_gsm;3G/GSM;3G/GSM
string_surface;Surface;Oberfläche
string_sec_;sec.;sec.
string_start_corrections;Start Corrections;Start Korrekturen
string_baudrate_;BaudRate:;BaudRate:
string_base_distance;Base distance;Basisabstand
string_no_receiver_info_;No Receiver info!;Keine Empfängerinformation!
string_can_t_store_rtk_base_information_into_job_;Can\'t store RTK Base information into job!;Kann die RTK-Basisinformation nicht im Auftrag speichern!
string_rtk_computation_nmode;RTK Computation\nMode;RTK-Berechnung\nModus
string_no_velocity;No velocity;Keine Geschwindigkeit
string_ghost;Ghost;Geist
string_survey_is_stopping___;Survey is stopping&#8230||;Vermessung stoppt&#8230||
string_time_frequency_parameters_from_the_ephemeris_data_set_may_be_wrong;Time-Frequency parameters from the ephemeris data set may be wrong;Zeit-Frequenz-Parameter aus dem Ephemeriden-Datensatz können falsch sein
string_can_t_turn_on_beidou_tracking_;Can\'t turn on BeiDou tracking!;Kann die BeiDou-Verfolgung nicht einschalten!
string_col__1_d_of__2_d;Col.%1$d of %2$d;Spalte %1$d von %2$d
string_rename__1_s_to__2_s;Rename %1$s to %2$s;Umbenennen von %1$s in %2$s
string_tt450s_hw__pars_;TT450S(HW) pars.;TT450S(HW) pars.
string_changing_mode_set_failed_;Changing mode set failed!;Ändern des eingestellten Modus fehlgeschlagen!
string_5sec__0_2hz_;5sec (0.2Hz);5sec (0,2Hz)
string_prism;Prism;Prisma
string_6_sats_;6 sats;6 Sättigungen
string_stop_corrections;Stop Corrections;Stop Korrekturen
string_levels;Levels;Pegel
string_correction_stopped_;Correction stopped.;Korrektur gestoppt.
string_counting___;Counting&#8230||;Zählung beendet
string_stake_line;Stake Line;Linie abstecken
string_edit;Edit;Bearbeiten
string_no_target_;No target!;Kein Ziel!
string_file__s_already_exist__do_you_want_to_resume_it_or_use_different_filename_;File %s already exist. Do you want to Resume it or use different filename?;Datei %s existiert bereits. Möchten Sie sie fortsetzen oder einen anderen Dateinamen verwenden?
string_javad_mobile_tools_for_android;Javad Mobile Tools for Android;Javad Mobile Tools für Android
string_previous_dialog;Previous Dialog;Vorheriger Dialog
string_a_c;A+C;A+C
string_event;Event;Ereignis
string_wrong_call_sign__only_numbers_and_capital_chars_are_avaibale__;Wrong call sign (only numbers and capital chars are avaibale!);Falsches Rufzeichen (nur Zahlen und Großbuchstaben sind zulässig!)
string_switch_to_next_side;Switch to next side;Zur nächsten Seite wechseln
string_until_stopped_manually;Until Stopped Manually;Bis Manuell gestoppt
string_can_t_start_log_to_receiver_;Can\'t start log to receiver!;Kann Log zum Empfänger nicht starten!
string_simplex_pars_;Simplex pars.;Simplex pars.
string_can_t_stop_receiver_file_;Can\'t stop receiver file!;Kann Empfängerdatei nicht stoppen!
string_start_rtk_rover;Start RTK Rover;RTK-Rover starten
string_activating_wifi___;Activating WiFi&#8230||;Aktiviere WiFi&#8230||
string_calibration_is_over;Calibration is over;Kalibrierung ist beendet
string_receiver_file_name_empty_;Receiver file name empty!;Empfänger Dateiname leer!
string_ellevation_nmask;Ellevation\nMask;Ellevation\nMaske
string_code;Code;Code
string_pick_points_on_map_to_measure_area;Pick points on map to measure area;Wählen Sie Punkte auf der Karte, um das Gebiet zu messen
string_l2c_and_l5_slots_are_in_rtk_processing;L2C and L5 slots are in RTK processing;L2C- und L5-Slots sind in RTK-Verarbeitung
string_raw_mode;Raw Mode;Roh-Modus
string__1__3f____2__3f____3__3f;%1$.3f : %2$.3f : %3$.3f;%1$.3f : %2$.3f : %3$.3f
string_wpa_password_should_be_no_more_63_chars_;WPA password should be no more 63 chars!;WPA-Passwort sollte nicht mehr als 63 Zeichen lang sein!
string_start_levels_calibration;Start Levels Calibration;Start Levels Kalibrierung
string_take_nphoto;Take\nPhoto;Bild aufnehmen
string_dgps;DGPS;DGPS
string__02dseconds;%02dseconds;%02dSekunden
string_pick_point_on_map__;Pick point on map..;Punkt auf Karte auswählen...
string_source_with_name___s__already_exists_;Source with name \'%s\' already exists!;Quelle mit Namen \'%s\' existiert bereits!
string_rtcm3_cs_messages;RTCM3 CS messages;RTCM3 CS-Meldungen
string_internal_uhf_radio;Internal UHF radio;Interner UHF-Funk
string_cancelled;Cancelled;Abgebrochen
string_gt_length;;
string_can_t_start_levels_calibration__ndisabled_by_oaf_options_;Can\'t start levels calibration!\nDisabled by OAF options!;Can\'t start levels calibration!\nDisabled by OAF options!
string_can_t_turn_on_gps_using_;Can\'t turn on GPS using!;Can\'t turn on GPS using!
string_wrong_power__npower_should_be_from__1__3fw__2_d__to__3__3fw__4_d__;Wrong power!\nPower should be from %1$.3fW(%2$d) to %3$.3fW(%4$d)!;Falsche Leistung!\nDie Leistung sollte zwischen %1$.3fW(%2$d) und %3$.3fW(%4$d) liegen!
string_restricted_to_receivers_with_oaf;Restricted to Receivers with OAF;Eingeschränkt auf Empfänger mit OAF
string_imu;IMU;IMU
string_wrong_coordinate_;Wrong coordinate!;Falsche Koordinate!
string_port_setup_error;Port setup error;Port-Setup-Fehler
string_p_l2_data_used_for_position_computation;P/L2 data used for position computation;P/L2-Daten für Positionsberechnung verwendet
string_internal_3g_gprs;Internal 3G/GPRS;Internes 3G/GPRS
string_do_you_want_to_stop_survey_and_close_the_file_;Do you want to stop survey and close the file?;Möchten Sie die Vermessung beenden und die Datei schließen?
string_no_data_from_reference_station_are_available_for_given_satellite__rtk_mode_only_;No data from reference station are available for given satellite (RTK mode only);Es sind keine Daten von der Referenzstation für den gegebenen Satelliten verfügbar (nur RTK-Modus)
string_delete__1_d_filtered_points__of__2_d_;Delete %1$d filtered Points (of %2$d);Löschen von %1$d gefilterten Punkten (von %2$d)
string_auto;Auto;Auto
string_cs__1_s_is_set_as_rtcm3_cs_for_correction_source__2_s;CS %1$s is set as RTCM3 CS for correction source %2$s;CS %1$s ist als RTCM3 CS für Korrekturquelle %2$s eingestellt
string_curr_pos;Curr.Pos;Curr.Pos
string_stake;Stake;Pfahl
string_rename_correction_source;Rename Correction Source;Korrekturquelle umbenennen
string_new_rcv_server;new RCV Server;neuer RCV-Server
string_calibration_is_finished_ok;Calibration is finished OK;Kalibrierung ist beendet OK
string_manual;Manual;Manuell
string_stopping_rtk_base_station;Stopping RTK base station;RTK-Basisstation stoppen
string_can_t_setup_ntrip_server_parameter_;Can\'t setup Ntrip Server parameter!;Kann den Parameter Ntrip Server nicht einstellen!
string_pick_2_points_on_map_;;
string_stop_calibration;Stop Calibration;Kalibrierung stoppen
string_wep_password_should_be_no_more_32_chars_;WEP password should be no more 32 chars!;WEP-Passwort sollte nicht mehr als 32 Zeichen lang sein!
string_connecting_to_ntrip_caster___;Connecting to Ntrip Caster&#8230||;Verbinden mit Ntrip Caster&#8230||
string_wrong_measurements_have_been_detected_by_raim;Wrong measurements have been detected by RAIM;Falsche Messungen wurden von RAIM erkannt
string_file__1_s_at__2__0fhz;File %1$s at %2$.0fHz;Datei %1$s bei %2$.0fHz
string_le_ht0;;
string_period;Period;Zeitraum
string_extrap_mode_is_required_to_work_with_5hz_;Extrap mode is required to work with 5Hz!;Extrap-Modus wird benötigt, um mit 5Hz zu arbeiten!
string_modem_mode__1_s___2_s_;Modem mode %1$s (%2$s);Modem-Modus %1$s (%2$s)
string_can_t_write_info_into_receiver_file;Can\'t write info into receiver file;Kann Info nicht in Empfängerdatei schreiben
string_can_t_turn_off_glo_tracking_;Can\'t turn off GLO tracking!;Kann GLO-Tracking nicht abschalten!
string_mpoint;MPoint;MPunkt
string_selected_area___s__perimeter___s;Selected Area: %s, perimeter: %s;Ausgewählter Bereich: %s, Perimeter: %s
string_waiting_for_slave;Waiting for slave;Wartet auf Slave
string__1_s__2_dbs_fec__3_s_comp__4_s_clkcrr__5_s;%1$s %2$dbs FEC:%3$s Comp:%4$s ClkCrr:%5$s;%1$s %2$dbs FEC:%3$s Comp:%4$s ClkCrr:%5$s
string_rcv_status;RCV status;RCV-Status
string_epoch_nfilter;Epoch\nFilter;Epoch\nFilter
string_can_t_send_base_corrections_into_receiver_file_;Can\'t send base corrections into receiver file!;Kann keine Basiskorrekturen in Empfängerdatei senden!
string_wrong_rcv_client_address_;Wrong RCV Client Address!;Falsche RCV-Client-Adresse!
string_zone_;Zone:;Zone:
string_ca_l1_and_l2c_measurements_are_used_in_rtk_processing;CA/L1 and L2C measurements are used in RTK processing;CA/L1- und L2C-Messungen werden in der RTK-Verarbeitung verwendet
string_localization_points;Localization Points;Lokalisierungspunkte
string_value_replaced_with_verify_settings;Value replaced with Verify settings;Wert durch Verify-Einstellungen ersetzt
string_tcp_port_;TCP Port:;TCP-Anschluss:
string_vrms;VRMS;VRMS
string_can_t_turn_off_sbas_using_;Can\'t turn off SBAS using!;Kann SBAS nicht abschalten mit!
string__d_meas_;%d meas.;%d meas.
string_multi_rtk_nmode;Multi RTK\nMode;Multi RTK\nModus
string_correction_rate_;Correction Rate:;Korrekturrate:
string_height__1__3f_u00b1_2__2f;Height=%1$.3f\u00b1%2$.2f;Height=%1$.3f\u00b1%2$.2f
string_can_t_turn_on_irnss_tracking_;Can\'t turn on IRNSS tracking!;Kann IRNSS-Tracking nicht einschalten!
string_radio_link;Radio Link;Funkverbindung
string_file_name_too_long_;File name too long!;Dateiname zu lang!
string_by_distances;By Distances\nN:\nE:\nH:;Nach Entfernungen\nN:\nE:\nH:
string_almanac_sv_health_indicator_is_not_available_for_this_satellite;Almanac SV health indicator is not available for this satellite;Almanac SV Gesundheitsanzeige ist für diesen Satelliten nicht verfügbar
string_sent_receive;Sent/Receive;Senden/Empfangen
string_modulation_;Modulation:;Modulation:
string_internet_via_3g_gprs;Internet via 3G/GPRS;Internet über 3G/GPRS
string_no_correction_source_;No correction source!;Keine Korrekturquelle!
string_can_t_turn_off_qzss_using_;Can\'t turn off QZSS using!;Kann mit QZSS nicht ausgeschaltet werden!
string_mpoint_;MPoint:;MPunkt:
string_manual_stop;Manual Stop;Manueller Stopp
string_starting_rtk_base_station;Starting RTK base station;RTK-Basisstation starten
string_can_t_start_fh_radio;Can\'t start FH radio;Kann FH-Funk nicht starten
string_wrong_correction_type_;Wrong correction type!;Falscher Korrekturtyp!
string_surveying_is_in_progress__do_you_want_to_stop_the_survey_to_close_the_window_;Surveying is in progress. Do you want to stop the survey to close the window?;Die Vermessung ist im Gange. Möchten Sie die Vermessung stoppen, um das Fenster zu schließen?
string_compass___levels;Compass / Levels;Kompass / Nivellierung
string_can_t_turn_off_gps_tracking_;Can\'t turn off GPS tracking!;Kann die GPS-Verfolgung nicht ausschalten!
string_low_power_mode_has_enabled;Low Power Mode has enabled;Der Energiesparmodus wurde aktiviert
string_ip_port_;IP:Port:;IP:Port:
string_used_signal_priorities;Used signal priorities;Verwendete Signalprioritäten
string_10sec;10sec;10 Sekunden
string_autocad_drawing___dwg;AutoCad Drawing *.dwg;AutoCad-Zeichnung *.dwg
string_view_edit_point;View/Edit point;Ansicht/Bearbeitungspunkt
string_channel_rate_;Channel Rate=;Kanal Rate=
string_no_reference;No Reference;Keine Referenz
string_can_t_start_compass_calibration_;Can\'t start compass calibration!;Kann die Kompasskalibrierung nicht starten!
string_the_android_device;the Android device;das Android-Gerät
string_tcp_cl_mode_setup_error;TCP/CL mode setup error;TCP/CL-Modus-Setup-Fehler
string_rcv_server;RCV Server;RCV-Server
string_stay_till_stop;Stay till Stop;Bleibt bis zum Stop
string__1_s__2_dbs;%1$s %2$dbs;%1$s %2$dbs
string_close_without_saving;Close without saving;Schließen ohne Speichern
string_trimmark_ii_iie_pars_;Trimmark II/IIe pars.;Trimmark II/IIe pars.
string_lock;Lock;Sperren
string_generic_radio_on_;Generic radio on ;Allgemeiner Funk ein 
string_rotation____1_s_nbs_angle____2_s_nbs_angle_error____3_s_nplain_error____4_s_nvert_error____5_s;Rotation = %1$s\nBS Angle = %2$s\nBS Angle Error = %3$s\nPlain Error = %4$s\nVert Error = %5$s;Rotation = %1$s\nBS Winkel = %2$s\nBS Winkelfehler = %3$s\nPlain Fehler = %4$s\nVert Fehler = %5$s
string_empty_port_;Empty port!;Leerer Anschluss!
string_rcv;RCV;RCV
string_android;Android;Android
string_nethub_jcors_;NetHub/JCORS:;NetHub/JCORS:
string_on_moving_tip_;On(moving tip);On(moving tip)
string_min_engine_ncount;Min.Engine\nCount;Min.Engine\nCount
string_temporary_point_p1_is_not_surveyed_yet_;Temporary point P1 is not surveyed yet!;Temporärer Punkt P1 ist noch nicht vermessen!
string_reset_style_to_default;Reset style to default;Stil auf Standard zurücksetzen
string_can_t_convert_position_to_wgs84_;Can\'t convert position to WGS84!;Kann Position nicht nach WGS84 konvertieren!
string_wrong_cbst_rate_;Wrong CBST Rate!;Falsche CBST Rate!
string_p_l1_and_l5_slots_are_used_in_rtk_processing;P/L1 and L5 slots are used in RTK processing;P/L1 und L5 Slots werden in der RTK-Verarbeitung verwendet
string_can_t_start_spectrum_scan_;Can\'t start spectrum scan!;Kann Spektrum-Scan nicht starten!
string_wrong_tcpo_ip_port_;Wrong TCPO IP Port!;Falscher TCPO IP Port!
string_cad_drawing;CAD Drawing;CAD-Zeichnung
string_magnetic_az_;Magnetic Az.;Magnetische Az.
string_stakeout;Stakeout;Absteckung
string_do_you_want_to_set_engine_priorites_to_default_values__nyour_settings_will_be_replaced_by_the_default_values_;Do you want to set engine priorites to default values?\nYour settings will be replaced by the default values!;Möchten Sie die Motorprioritäten auf Standardwerte setzen?\nIhre Einstellungen werden durch die Standardwerte ersetzt!
string_hybrid_nrtk;Hybrid\nRTK;Hybrid\nRTK
string_this_sv_does_not_belong_to_the_constellation_the_user_has_selected;This SV does not belong to the constellation the user has selected;Dieser SV gehört nicht zu der vom Benutzer gewählten Konstellation
string_radius_;Radius:;Radius:
string_gsm;GSM;GSM
string_pnts;Pnts;Pnts
string_low_power_mode_change_has_failed_;Low Power Mode change has failed!;Der Wechsel in den Low Power Mode ist fehlgeschlagen!
string_rtk_stopped;RTK Stopped;RTK gestoppt
string_rcv_server_error_;RCV Server error!;RCV Server Fehler!
string_uhf_radio_error____s_;UHF radio error! (%s);UHF-Funkfehler! (%s)
string_compass_calibration_progress_is_;Compass Calibration progress is ;Fortschritt der Kompasskalibrierung ist 
string_transparent_pars__;Transparent pars.:;Transparent pars:
string_3g_ip_address_;3G IP Address:;3G IP-Adresse:
string_setup_rtk_rate_error;Setup RTK rate error;Setup RTK-Rate Fehler
string_wifi_triumph;WiFi Triumph;WiFi Triumph
string_turning_off_wlan_to_activate_lan___;Turning off WLAN to activate LAN&#8230||;WLAN ausschalten, um LAN zu aktivieren&#8230||
string_you_didn_t_select_a_correction_source_;You didn\'t select a correction source.;Sie haben keine Korrekturquelle ausgewählt.
string_no_surface_file;No Surface File;Keine Oberflächendatei
string_gprs;GPRS;GPRS
string_reference_nframe;Reference\nFrame;ReferenzFrame
string_north_up;North Up;Norden oben
string_satel_pars_;Satel pars.;Satel pars.
string_new_uhf_radio;new UHF radio;neuer UHF-Funk
string_no_imu_data;;
string_point__s_selected;Point %s selected;Punkt %s ausgewählt
string_raw_mode_;Raw Mode:;Roh-Modus:
string_error_value_;Error value!;Fehlerwert!
string_wrong_ntrip_client_port_;Wrong Ntrip Client Port!;Falscher Ntrip-Client-Port!
string_wrong_ntrip_client_address_;Wrong Ntrip Client Address!;Falsche Ntrip-Client-Adresse!
string_not_enough_memory_in_the_receiver_;Not enough memory in the receiver!;Nicht genügend Speicher im Empfänger!
string_no_position;No Position;Keine Position
string_canceled_by_user;Canceled by user;Vom Benutzer abgebrochen
string_rtk_fixed;RTK Fixed;RTK fixiert
string_can_t_write_event_;Can\'t write event!;Kann Ereignis nicht schreiben!
string_mount_point;Mount Point;Punkt montieren
string_2hz;2Hz;2Hz
string_wrong_tpc_ip_port_;Wrong TPC IP Port!;Falscher TPC IP Port!
string_can_t_reset_remote_surveying_on_ts;Can\'t reset remote surveying on TS;Kann Fernvermessung auf TS nicht zurücksetzen
string_no_data_from_reference_station_are_available_for_given_satellite__dgps_mode_only_;No data from reference station are available for given satellite (DGPS mode only);Es sind keine Daten von der Referenzstation für den gegebenen Satelliten verfügbar (nur DGPS-Modus)
string_rename_manual___;Rename manual&#8230||;Manuell umbenennen&#8230||
string_ts_points;TS Points;TS Punkte
string_ready_to_count;Ready to count;Bereit zum Zählen
string_p_l2_slot_is_used_in_rtk_processing;P L2 slot is used in RTK processing;P L2-Slot wird in RTK-Verarbeitung verwendet
string_save_pp;Save PP;PP speichern
string_message_group_is_not_selected_;Message Group is not selected!;Nachrichtengruppe ist nicht ausgewählt!
string_select_style__s;Select Style %s;Stil %s auswählen
string_cancel_point;Cancel point;Punkt abbrechen
string_style__s_doesn_t_exist_;Style %s doesn\'t exist!;Stil %s existiert nicht!
string_can_t_start_logging_to_receiver_file_;Can\'t start logging to receiver file!;Kann die Aufzeichnung in die Empfängerdatei nicht starten!
string_can_t_store_position;Can\'t store position;Kann Position nicht speichern
string__1_dmin___2_dsec_;%1$dmin. %2$dsec.;%1$dmin. %2$dsec.
string_edit_last_ts_point__s;Edit last TS point %s;Letzten TS-Punkt %s bearbeiten
string_p_l1_slot_is_used_in_rtk_processing;P L1 slot is used in RTK processing;P L1-Slot wird in der RTK-Verarbeitung verwendet
string_without_radio_setup;without radio setup;ohne Funksetup
string_can_t_set_tcp_input_mode_;Can\'t set tcp input mode!;Kann den tcp-Eingabemodus nicht einstellen!
string_hybrid;Hybrid;Hybrid
string_sat__nsystems;Sat.\nSystems;Sat.\nSysteme
string_survey_is_not_started_;Survey is not started!;Vermessung wird nicht gestartet!
string_points;Points;Punkte
string_off;off;aus
string_can_t_turn_on_gallileo_using_;Can\'t turn on Gallileo using!;Kann Gallileo nicht mit einschalten!
string_view_on_map;View on Map;Ansicht auf Karte
string_l5_data_used_for_position_computation;L5 data used for position computation;L5-Daten für Positionsberechnung verwendet
string_low_power_mode_has_disabled;Low Power Mode has disabled;Low Power Mode ist deaktiviert
string_can_t_setup_nethub_rcv_mode_;Can\'t setup NetHub rcv mode!;Kann NetHub rcv-Modus nicht einrichten!
string_radius_2_;Radius 2:;Radius 2:
string_rcvbase_server_;RCVBase Server ;RCVBase Server 
string_wrong_easting_;Wrong easting!;Falsche Ostrichtung!
string_rtk_reset;RTK Reset;RTK-Reset
string_use;Use;verwenden.
string_distance_nto_point;Distance\nto Point;Entfernung\nto Punkt
string_port_input_mode_setup_error;Port input mode setup error;Port input mode setup error
