button_start_corrections;Start Corrs.;Starten Sie Corrs.
output_power;Output Power;Ausgangsleistung
compression;Compression;Komprimierung
ts_survey_data;Get TS Data;TS-Daten holen
action_select_list;List;Liste
wrong_tolerance;Wrong Tolerance!;Falsche Toleranz!
reset_imu;Reset IMU;IMU zurücksetzen
stop_station;Stop Station;Station anhalten
pin_code;Pin Code;Pin-Code
f_rule;Freq.Rule;Freq.Regel
transparent;Transparent protocol settings;Transparente Protokolleinstellungen
l1ca;L1CA;L1CA
jmt_version;Version;Version
error_save_photo;Error of saving photo!;Fehler beim Speichern des Fotos!
corrections_up;CORRECTIONS;KORREKTUREN
are_ok;are OK;sind OK
text_bearing;Bearing;Peilung
cant_read_fix_position;Cannot read Fix position from receiver!;Fixe Position kann nicht vom Empfänger gelesen werden!
height_filter_range_summary;Available Height Range;Verfügbarer Höhenbereich
gprs_dialup_number;Dialup Number;Einwahlnummer
accept_hrms;Accept HRMS;HRMS übernehmen
string_station;Station;Station
category_imu;IMU;IMU
use_levels;Use Levels;Levels verwenden
rtcm20_full;RTCM 2.0 Full;RTCM 2.0 Voll
lift_and_tilt_mode_deactivated;Lift and Tilt mode Deactivated;Hebe- und Neigemodus Deaktiviert
calibration_required;calibration required;Kalibrierung erforderlich
epochs_reject_shorter;reject.;ablehnen.
survey_receiver_setup;RECEIVER SETUP;EMPFÄNGER-EINSTELLUNG
receiver_processor_freq;Processor Frequency, MHz;Prozessor-Frequenz, MHz
quattro_roll;Roll;Rollen
string_epochs_format;Epochs: %1$d / %2$d (Rejected:%3$d);Epochen: %1$d / %2$d (Abgelehnt:%3$d)
antenna_input_type;Antenna Input;Antenneneingang
string_satsys;SAT;SAT
read_from_receiver_warning;Reading from receiver will replace your settings with current settings written to GNSS receiver.\nDo you want to continue?;Das Lesen vom Empfänger ersetzt Ihre Einstellungen durch die aktuellen Einstellungen, die in den GNSS-Empfänger geschrieben werden.\nSollen Sie fortfahren?
string_stakeout_settings;Navigation;Navigation
info;INFO;INFO
satellites;satellites;satelliten
on_off_sounds;On/Off Sounds;Töne ein/aus
jmt_license_error;License the application before use the receiver or purchase authorization OAF option!;Lizenzieren Sie die Anwendung vor der Verwendung des Empfängers oder erwerben Sie die Berechtigung OAF-Option!
baud_rate;Baud rate;Baudrate
ntripserver_host;Ntrip Host;Ntrip-Host
text_comma;:;:
antenna_height_type_summary;Switch between antenna input;Umschalten zwischen Antenneneingang
signal_turn_on_ok;Signal Turn On successfully;Signal Einschalten erfolgreich
title_raw_file;RAW FILE;RAW-DATEI
rtcm2x_dgps_part;RTCM 2.x DGPS Part;RTCM 2.x DGPS Teil
string_cant_stop_receiver_file;Can not stop receiver file!;Kann Empfängerdatei nicht anhalten!
job_survey_point_count;Survey Point count;Vermessungspunkt zählen
string_aux_port;AIM aux Port;AIM aux Anschluss
string_epochs_without_limit;Epochs: %1$d (Rejected:%2$d);Epochen: %1$d (Abgelehnt:%2$d)
select_antenna;Select Antenna;Antenne wählen
text_base;Base;Basis
nethub_address;NetHub Address;NetHub-Adresse
button_trajectory;Trajectory;Trajektorie
fh;FH;FH
target_point_small;Pnt.Target;Pnt.Ziel
string_reset_to_default;Reset;Zurücksetzen
quattro_rms_roll;RMS Roll;RMS-Rollen
save_post_processing_after;Activate Post-Processing after;Post-Processing aktivieren nach
receiver_mainboard;Mainboard;Hauptplatine
text_solution_type;Solution\n;Lösung\n
antenna_height_type_2;Height Type;Höhe Typ
get_from_catalog_summary;Read Coordinates From Catalog;Koordinaten aus Katalog lesen
rtpk_is_off;RTPK is not compatible with IMU. And RTPK will turn off.;RTPK ist nicht kompatibel mit IMU. Und RTPK wird ausgeschaltet.
button_stop_send_debug;Stop and Send Debug;Debug anhalten und senden
string_along_xml;Along;Entlang
misc;Misc.;Verschiedenes.
sound_scheme;Sound Scheme;Ton-Schema
nethub_on;NetHub Mode;NetHub-Modus
ignore_antenna;Ignore Antenna;Antenne ignorieren
wrong_slant_height;Wrong slant height!;Falsche Schräglagenhöhe!
string_connect_2;Connect;Verbinden
trajectory;Trajectory;Trajektorie
survey_point_stored_hybrid_rtk;Hybrid RTK Saved;Hybrid-RTK Gesichert
job_data_path;Data Path;Datenpfad
quattro_distance_ab;Distance AB;Abstand AB
quattro_distance_ac;Distance AC;Entfernung AC
wlan_ssid_summary;WiFi SSID;WiFi SSID
button_start_spectrum;Start;Start
wlan_settings;WLAN;WLAN
frequency_rule;Frequency Rule;Frequenz-Regel
quattro_distance_ad;Distance AD;Abstand AD
start_levels_calibration_land;S\nt\na\nr\nt\n \nL\ne\nv\ne\nl\ns\n \nC\na\nl\ni\nb\nr\na\nt\ni\no\nn;S\nt\na\nr\nt\n \nL\ne\nv\ne\nl\ns\n \nC\na\nl\ni\nb\nr\na\nt\ni\no\nn
set_coordinate;Set Coordinates;Koordinaten setzen
action_back_color;Modelspace Color;Modellraum Farbe
hibrid_rtk_data_collected;No data RTK collected, and HybridRTK file exists;Keine RTK-Daten gesammelt, und HybridRTK-Datei vorhanden
check_base_info;Store Base Corrections;Basiskorrekturen speichern
verify_number_of_groups;Number of Groups;Anzahl der Gruppen
antenna_type_summary;Switch between antenna input;Umschalten zwischen Antenneneingang
epoch_accepted;Epoch Accepted;Epoche Akzeptiert
tt450shw;TT 450SHW;TT 450SHW
verify_tolerance_between_groups;Tolerance between groups;Toleranz zwischen Gruppen
cant_setup_elevation_mask;Can\'t setup elevation mask!;Kann keine Elevationsmaske einrichten!
hu;H/U;H/U
radio_setup;;
button_send_debug;Send Debug;Debug senden
quattro_distance_bc;Distance BC;Abstand BC
quattro_distance_bd;Distance BD;Abstand BD
wrong_height;Wrong Height!;Falsche Höhe!
duplicate_store_point;Such object already exist!;Dieses Objekt existiert bereits!
string_file;File:;Datei:
survey_mark_id;Mark Type;Marke Typ
site_name_is_empty;Site name is empty!;Standortname ist leer!
correction_type_tcp_a;TCP A;TCP A
occupation_point;Occupation Point;Belegungspunkt
station_name;Station Name;Name der Station
string_baud_rate;Baud rate:;Baudrate:
imu_is_off2;IMU is not compatible with RTPK. IMU will turn off.;IMU ist nicht kompatibel mit RTPK. IMU schaltet sich aus.
correction_rate_info;Rate Info;Tarif-Info
gprs_user_summary;User Name;Name des Benutzers
bluetooth_quality;Low Bluetooth/WiFi connection;Niedrige Bluetooth/WiFi-Verbindung
quattro_distance_cd;Distance CD;Abstand CD
button_scan_uhf_summary;Scan UHF Frequencies;UHF-Frequenzen scannen
get_from_receiver;Get From Receiver;Vom Empfänger holen
rtcm30_min;RTCM 3.0 Min (GPS+GLO only);RTCM 3.0 Min (nur GPS+GLO)
frequency_hz;Frequency, Hz;Frequenz, Hz
device_is_unregistered_warning;This receiver is not registered in JCORS!\nDo you want to register the receiver in JCors?;Dieser Empfänger ist nicht in JCORS registriert!\n Wollen Sie den Empfänger in JCors registrieren?
action_average;Average;Durchschnitt
source_table;Source Table;Quelle Tabelle
status;Status;Status
wrong_antenna_height;Wrong antenna height!;Falsche Antennenhöhe!
text_distance;Distance;Entfernung
string_menu_average_off;Averaging Off;Mittelwertbildung aus
string_menu_offset_perpendicular;Perpendicular;Senkrecht
true_5_hz;True 5Hz RTK;Echte 5Hz RTK
imu_is_off;IMU is not compatible with HybridRTK. IMU will turn off.;IMU ist nicht mit HybridRTK kompatibel. Die IMU wird ausgeschaltet.
survey_connected_to;Connected To;Verbunden mit
current_style;Current Style;Aktueller Stil
l5;L5\nE5a\nG3;L5\nE5a\nG3
lift_and_tilt_mode_activated;Lift and Tilt mode Activated;"Modus ""Heben und Neigen"" ist aktiviert"
string_ar_xml;AR;AR
text_zoom_target;Target;Ziel
verify_number_of_groups_summary;Number of Groups;Anzahl der Gruppen
string_range2;Range 2;Bereich 2
string_range1;Range 1;Bereich 1
raw_mode;RAW Mode;RAW-Modus
string_access_token;Access Token;Zugriff Token
float2;Float;Float
verify_number_epochs_in_group_summary;Number Epochs in each group;Anzahl Epochen in jeder Gruppe
correction_type_tcp_b;TCP B;TCP B
correction_type_tcp_c;TCP C;TCP C
target_point;Point\nTarget;Punkt\nZiel
color_gray;Gray;Gray
correction_type_tcp_d;TCP D;TCP D
correction_type_tcp_e;TCP E;TCP E
serial_number;S/N:;S/N:
action_points;Points;Punkte
text_ntt;NTT;NTT
ntripclient_address;Ntrip Client Address;Ntrip Client Adresse
minimal_rtk_engines;Minimal RTK Engines to accept;Minimal zu akzeptierende RTK-Engines
check_l1center_beidou;Move L1 center to 1571Mhz for better track Beidou B1;L1-Mitte auf 1571Mhz verschieben für besseren Track Beidou B1
tcp_port;TCP Port;TCP-Anschluss
csd_max_working_time;Max. Working Time;Max. Betriebszeit
no_fix_to_set_reference;Can not set IMU reference;Kann keine IMU-Referenz setzen
hibrid_rtk_description;Hybrid RTK stores raw data for each point as a separate file to process then on DPOS if no RTK fix for given time;Hybrid-RTK speichert Rohdaten für jeden Punkt als separate Datei, um sie dann auf DPOS zu verarbeiten, wenn kein RTK-Fix für eine bestimmte Zeit vorliegt
quattro_rms_heading;RMS Heading;RMS-Kurs
correction_type_tcpo_e;TCPO E;TCPO E
wrong_elevation_mask;Wrong elevation mask!;Falsche Elevationsmaske!
correction_type_tcpo_a;TCPO A;TCPO A
rtcm3_cs;RTCM3 CS;RTCM3 CS
correction_type_tcpo_b;TCPO B;TCPO B
correction_type_tcpo_c;TCPO C;TCPO C
correction_type_tcpo_d;TCPO D;TCPO D
correction_period;Correction Period;Korrektur Zeitraum
radio;radio;Funk
station_point_is_not_set;Station point is not set!;Stationspunkt ist nicht gesetzt!
download;Download;Download
jmt_ram;RAM;RAM
receiver_free_file_memory;Free File Memory;Freier Dateispeicher
text_backward_sign;\u21E9;\u21E9
string_menu_nearest_magnet_on;Nearest Auto Switch On;Nächstes Auto einschalten
wrong_trajectory_length_filter;Wrong Trajectory Length Filter!;Falscher Trajektorienlängenfilter!
string_model;Model:;Modell:
string_json;JSon;JSon
rtpk_mode;RTPK/RTK Mode;RTPK/RTK-Modus
text_delta_e;&#x394||E;&#x394|E
text_survey;Survey\n\n;Umfrage
string_menu_rename_style;Rename style;Stil umbenennen
text_delta_h;&#x394||H;&#x394|H
set_coordinate_summary;Set Coordinates To Receiver Without Radio Setup;Koordinaten auf Empfänger ohne Funkeinstellung setzen
back_sight_ha_angle;HA;HA
wlan_on;Set WLAN;WLAN einstellen
survey_start_station;START STATION;STARTSTATION
ntripclient_login;Ntrip Client Login;Ntrip Client Anmeldung
compass;Compass;Kompass
string_menu_offset_point;Points;Punkte
coordinate_system;Coordinate System;Koordinatensystem
nethub_port;NetHub Port;NetHub-Anschluss
text_course_sign;\u2388;\u2388
csd_settings_name_summary;Name;Name
receiver_hardware_version;Hardware Version;Hardware-Version
position;Position;Position
string_menu_delete_style;Delete style;Stil löschen
text_delta_n;&#x394||N;&#x394|N
radio_settings;;
string_menu_offset_stakeout_line;Stakeout Line;Abstecklinie
text_empty;\t;\t
string_menu_offset_intersection;Intersection;Schnittpunkt
string_menu_unlock_style;UnLock style for modifications;Stil für Änderungen freischalten
job_workingcs;Working CS;Arbeits-CS
info_details;Stakeout information;Absteckungsinformationen
action_settings;Settings;Einstellungen
job_design_point_count;Design Point count;Entwurf Punktanzahl
signals_bds;BDS;BDS
hour;1 hour;1 Stunde
get_receiver_setting;Get Receiver Settings;Empfänger-Einstellungen abrufen
string_delete_style_xml;Delete;Löschen
target_surface_small;Surface Stk.;Oberfläche Stk.
setup_internet_3g_format;3G Mode:%1$s Sim:%2$s\nAPN:%3$s;3G-Modus:%1$s Sim:%2$s\nAPN:%3$s
title_imu;IMU;IMU
antenna_up;ANTENNA;ANTENNE
string_line_xml;Line;Leitung
output_power_w;Output Power;Ausgangsleistung
survey_radio_settings;Radio Settings;Funkeinstellungen
mount_point;Mount Point;Montagepunkt
wrong_password_title;Wrong password!;Falsches Passwort!
correction_source;Correction Source;Korrektur Quelle
string_enable_dgps;Enable DGPS if no fixed/float;DGPS aktivieren, wenn kein Fixed/Float
free_memory;0MB;0MB
dgps;DGPS;DGPS
button_resurvey;ReSurvey;ReSurvey
jmt_android;Android;Android
gprs_settings;3G/GPRS;3G/GPRS
receiver_file_memory_size;File Memory Size;Datei Speichergröße
antenna_height_type;Height type;Höhe Typ
wrong_antenna_vertical_offset;Wrong antenna vertical offset!;Falscher vertikaler Antennenversatz!
text_left;Left;Links
transparent_protocol_parameters;Transparent protocol settings;Transparente Protokolleinstellungen
compass_status_error;Compass calibration is required!;Kompasskalibrierung ist erforderlich!
string_tenateid;Tenate Id;Tenate Id
verify_tolerance_between_groups_summary;Tolerance between groups;Toleranz zwischen Gruppen
rcvclient_password;RCV Client Password;RCV-Client-Passwort
string_detect_rover_move;Detect Rover movement during survey;Rover-Bewegung während der Vermessung erkennen
error_survey_already_stopped;Survey already stopped!;Vermessung bereits gestoppt!
csd_phone_number;Direct Call (CSD);Direktanruf (CSD)
back_sight_angle;Back Site Angle;Rückseitenwinkel
text_average;Average\n\n;Durchschnittlich
std;Std;Std
receiver;Receiver;Empfänger
ntripclient_gga;Ntrip Client GGA;Ntrip Client GGA
station_id;Station ID;Station ID
use_imu;Use IMU;IMU verwenden
string_lift_tilt_survey_title;Lift&amp||Tilt;Heben&Neigen
hybridrtk_is_off;HybridRTK is not compatible with IMU. HybridRTK will turn off.;HybridRTK ist nicht mit IMU kompatibel. HybridRTK wird ausgeschaltet.
text_right;Right;Rechts
quattro_pitch;Pitch;Neigung
tcp_password;TCP Password;TCP-Passwort
check_qzss;QZSS;QZSS
text_average_on;Average;Durchschnitt
epoch_rejected_solution_type2;Epoch Rejected by Solution Type;Abgelehnte Epoche nach Lösungstyp
text_azimuth;Azimuth Type;Azimut Typ
latitude;Latitude;Breitengrad
button_antenna;JAV_TRIUMPH-1   NONE\n1.25m vert.;JAV_TRIUMPH-1 NONE\n1,25m vert.
stop_and_go;Stop and Go;Stopp und Weiter
last_point_names;Last Point Names;Letzte Punktnamen
string_interval;Interval;Intervall
verify_tolerance_in_group_summary;Tolerance in group;Toleranz in Gruppe
settings_name_summary;Name of This Setting;Name dieser Einstellung
ntripserver_message_set;Ntrip Corrections;NTrip-Korrekturen
action_survey;Survey;Umfrage
string_hr_string;HR;HR
string_fixed_only_xml;Fixed Only;Nur fest
disconnection;Disconnection;Unterbrechung
text_backward;Back;Zurück
rtpk_summary;RTPK collects and post-process raw data during surveying;RTPK sammelt und verarbeitet Rohdaten während der Vermessung nach
text_ctt_map;CTT;CTT
signals_gal;GAL;GAL
verify_mode;Verify;Überprüfen
connected_to_2;Connected To;Verbunden mit
calibrate;Calibrate;Kalibrieren
string_height_filter_settings;Height Filter Settings;Höhenfiltereinstellungen
check_offset;Offsets;Offsets
check_hibrid_rtk;Use Hybrid RTK;Hybrid-RTK verwenden
string_left_right;Left/Right;Links/Rechts
country;Country;Land
modulation;Modulation;Modulation
string_use_cs_from_vrs;Use CS from VRS;CS von VRS verwenden
string_doppl1;Doppl 1;Doppl 1
sim_card;SIM Card;SIM-Karte
compass_and_levels_from_controller;Compass/Levels from Controller;Kompass/Pegel vom Controller
string_doppl2;Doppl 2;Doppl 2
receiver_antenna_curinp;Antenna Input;Antenneneingang
string_multirtk;Multi RTK;Mehrfach-RTK
string_cant_compute_occupation_point_by_the_type;Cannot compute Occupation Point by the type!;Kann den Belegungspunkt nicht nach Typ berechnen!
levels_status_error_small;Levels error;Pegel-Fehler
use_epochs;Position accuracy;Positionsgenauigkeit
frequency;Frequency, Hz;Frequenz, Hz
receiver_antenna_dc;Status of External Antenna;Status der externen Antenne
title_advanced;ADVANCED;ERWEITERT
job_main_memory;Data memory;Datenspeicher
button_read_rover_jcors;Read RTK Rover Settings from JCORS;Lesen der RTK-Rover-Einstellungen aus JCORS
receiver_board_temp;Receiver Board Temperature,\u00b0C;Temperatur der Empfängerplatine,\u00b0C
string_menu_measure;ReMeasure;Neu messen
string_use_volume_button_to_lock_screen_touch;Use Volume Down button to lock screen touch;Bildschirmberührung mit der Lautstärke-Ab-Taste sperren
wrong_distance;Wrong distance;Falsche Entfernung
hybrid_rtk_summary;If no Fix solution reached, HybridRTK saves raw data for DPOS;Wenn keine Fix-Lösung erreicht wird, speichert HybridRTK Rohdaten für DPOS
audio_stakeout;Audio Stakeout;Audio-Absteckung
correction_source_settings;Corrections Settings;Korrekturen Einstellungen
log_history_description;This graph shows logging history. For each tracked satellite it shows green line then the satellite was tracked and white gaps then the sat. was not traked.\nThus you can see continuous uninterrupted time for each satellite and estimate your occupation time depends on quality of the tracking.\nThe graph summarises the data with large texts of max continuous time for 6 and 10 simultaneous satellites, and the total measurements collected in the file.;Diese Grafik zeigt den Verlauf der Aufzeichnung. Für jeden verfolgten Satelliten wird eine grüne Linie angezeigt, wenn der Satellit verfolgt wurde, und weiße Lücken, wenn der Satellit nicht verfolgt wurde.\nSo können Sie die kontinuierliche, ununterbrochene Zeit für jeden Satelliten sehen und die Belegungszeit in Abhängigkeit von der Qualität der Verfolgung abschätzen.\nDie Grafik fasst die Daten mit großen Texten der maximalen kontinuierlichen Zeit für 6 und 10 gleichzeitige Satelliten und die gesamten in der Datei gesammelten Messungen zusammen.
text_dist_plane;Dist Horz\n;Dist Horz\n
trimtalk450s_protocol_parameters;Trimtalk 450S params.;Trimtalk 450S params.
sounds_on;Sounds are on;Töne sind auf
text_ett_map;ETT;ETT
accept_epochs;Accept Epochs;Epochen akzeptieren
string_points_count;0 points;0 Punkte
string_slope;dH Slope, %%;dH Steigung, %%
string_rover_internet_from_xml;Internet on rover from;Internet auf Rover von
action_skyplot;Skyplot;Skyplot
recording;recording;Aufzeichnung
back_site_point;BS Point;BS Punkt
button_stop_debug;Stop Debug;Debug stoppen
correction_cmd;no corrections;keine Korrekturen
unock_the_style_string;Unock the style with password;Stil mit Passwort entsperren
epoch_rejected_pdop;Reject by PDOP;Ablehnen durch PDOP
reject_epochs_by_tilt;Reject epochs with tilt more than;Epochen mit Neigung ablehnen mehr als
rover_connected_to_2;Rover radio connected to;Rover-Funk verbunden mit
button_read_from_jcors;Read from JCORS server;Vom JCORS-Server lesen
jmt_name;Application;Anwendung
settings_name;Settings Name;Einstellungen Name
button_check_frequency;Check Frequency;Frequenz prüfen
connection_port;Port;Anschluss
mask;Mask;Maske
text_dist_3d;Dist 3D\n;Dist 3D\n
levels_status_ok;Levels are calibrated OK;Pegel sind kalibriert OK
string_menu_offset_fast_trajectory;Fast Trajectory;Schnelle Trajektorie
levels_status_ok_small;Levels OK;Pegel OK
rcvserver_message_set;RCV Corrections;RCV-Korrekturen
string_set_default;Reset Engine to Default values;Motor auf Standardwerte zurücksetzen
csd_acbst;ACBST;ACBST
dhcp_mode;DHCP;DHCP
detectrovermove_is_off;LiftTile mode is not compatible with Detect rover move. Detect rover move is turned off;Der LiftTile-Modus ist nicht mit Detect rover move kompatibel. Detect rover move ist ausgeschaltet
cant_slant_for_unknown_antenna;Cannot set slant for unknown antenna!;Schräge für unbekannte Antenne kann nicht eingestellt werden!
string_menu_offset_stakeout_surface;Stakeout Surface;Absteckung Oberfläche
antenna;Antenna;Antenne
measurement_type;Measurement Type;Messung Typ
five_hz_mode;5 Hz Mode;5 Hz-Modus
text_ett_sign;\u0394E;\u0394E
correction_type;Correction Type;Korrektur Typ
signal_setup_error;Signal Setup Error;Signal-Setup-Fehler
number_of_sats;0+0+0+0;0+0+0+0
lift_and_tilt_starting;Lift&amp||Tilt Starting;Heben&Neigen Start
title_rtpk;RTPK;RTPK
radio_from_controller;From Controller;Vom Controller
rcv_client_runs;RCV client runs;RCV-Client läuft
seconds;secs;secs
menu_confirm;Confirm Point;Punkt bestätigen
button_site;Site;Standort
text_wtt;WTT;WTT
site_name_already_exist;Object name already exists in the job!;Objektname existiert bereits im Auftrag!
signals_sbas;SBAS;SBAS
string_menu_offset_along_line;Along Line;Entlang der Linie
text_vrms;VRMS\n;VRMS\n
button_survey_p2;Survey P2;Umfrage P2
gprs_dialup_number_summary;Dialup Number;Wählnummer
button_survey_p1;Survey P1;Vermessung P1
stakeout_epoch_rejected;Stakeout Epoch Rejected;Absteckung Epoche Abgelehnt
survey_antenna_id;Antenna;Antenne
text_height;H\n;H\n
wrong_number_of_groups;Wrong number of groups;Falsche Anzahl von Gruppen
text_zoom_plus;Plus;Plus
string_rtk_start;Start RTK;RTK starten
switch_to_extrap_5_sec;Switch to extrap 5 sec&quot||;Umschalten auf Extrap 5 sec&quot||
text_ctt_sign;\u2316;\u2316
check_gps;GPS;GPS
bs_is_not_selected;Back Site is not Selected!;Back Site ist nicht ausgewählt!
text_cut_map;Cut;ausschneiden
check_and_save_settings_summary;Check and save settings;Einstellungen prüfen und speichern
cancel_survey;Cancel Survey;Vermessung abbrechen
text_point_antenna;Antenna;Antenne
string_height_computation;Height computation mode;Höhenberechnungsmodus
back_sight_va_angle;VA;VA
height_filter_height;Height;Höhe
sounds_off;Sounds are off;Töne sind ausgeschaltet
trajector_length_filter;Traj.Min.Length;Traj.Min.Länge
call_sign;Call Sign;Rufzeichen
store_trajectory_vertexes_as_separate_points;Store Trajectory Vertices as Separate Points;Trajektorienscheitelpunkte als getrennte Punkte speichern
antenna_height_summary;This allows you to enter a string;Damit können Sie einen String eingeben
string_epochs_reset;Epochs: RTK reset;Epochen: RTK zurücksetzen
color_white;White;Weiß
button_select_file;Select;auswählen
text_cut_sign;\u27F1;\u27F1
jcors_message_set;JCORS Message Set;JCORS-Meldungssatz
logging_rate;Logging Rate;Logging-Rate
correct_inclination;Correct Inclination;Neigung korrigieren
ntripserver_address;Ntrip Caster IP/Address;Ntrip Caster IP/Adresse
sounds_up;SOUNDS;SOUNDS
antenna_height_unit_summary;Switch between antenna input;Umschalten zwischen Antenneneingang
text_fill;Fill;Füllen
string_menu_duplicate_style;Duplicate style;Stil duplizieren
remain_in_delay;Remain in delay mode;Im Verzögerungsmodus verbleiben
string_next_arrow;\u2192;\u2192
string_deltas;Deltas\n;Deltas\n
gga;GGA;GGA
duo_hd_length;HD Length;HD Länge
rtpk_no_oaf;OAF is required for RTPK;OAF wird für RTPK benötigt
button_register_on_jcors;Register JCORS;Register JCORS
epoch_rejected_solution_type;Epoch Rejected by Solution Type Fix;Epoche von Lösungstyp abgelehnt Fix
survey_point_stored_error;Point store error;Punktspeicherfehler
verify_description;%1$d epochs in %2$d groups with %3$s;%1$d Epochen in %2$d Gruppen mit %3$s
delay_mode_changed_to_extrapolation;Mode delay has been changed to extrap\nto support 5Hz;Modusverzögerung wurde auf extrap\n geändert, um 5Hz zu unterstützen
min_erk_engine_at_least_1;at least 1;mindestens 1
min_erk_engine_at_least_2;at least 2;mindestens 2
csd_acbst_rate;CBST Rate;CBST-Rate
string_country_sort;Country;Land
base_positionup;BASE POSITION;BASIS-POSITION
string_survey_action_stop;Stop Survey;Vermessung stoppen
get_from_receiver_summary;Read Coordinates From Receiver;Koordinaten vom Empfänger ablesen
string_use_voice_commands_control_for_survey;Use Voice Commands to start/stop;Sprachbefehle zum Starten/Stoppen verwenden
text_orientation;Orientation;Orientieren
button_target;Target: point21\nDesign point;Ziel: Punkt21\nPlanungspunkt
ntripserver_mount_point;Ntrip Mount Point;NTrip Montagepunkt
min_erk_engine_at_least_3;at least 3;mindestens 3
survey_point_stored_ok;Point stored OK;Punkt gespeichert OK
text_point_code;Code;Code
min_erk_engine_at_least_4;at least 4;mindestens 4
read_modem_info;Read Modem Info;Modem-Info lesen
wrong_angles;Wrong angle;Falscher Winkel
min_erk_engine_at_least_5;at least 5;mindestens 5
min_erk_engine_at_least_6;at least 6;mindestens 6
text_fill_sign;\u27F0;\u27F0
check_glo;GLONASS;GLONASS
survey_job_name2;Job Name;Beruf Name
occupation_time;Occupation Time;Belegung Zeit
quattro_rms_pitch;RMS Pitch;RMS-Teilung
receiver_sizeof_ram;Size Of RAM;Größe des RAM
trimmark3;Trimmark3;Trimmark3
survey_antenna_height;Ant.Height;Ant.Höhe
receiver_id;Receiver ID;Empfänger-ID
wrong_maximum_uncorrected_tilt_angle;Wrong maximum uncorrected tilt angle!;Falscher maximaler unkorrigierter Neigungswinkel!
format_messages;Messages;Meldungen
reconfigure_receiver;Reconfigure Receiver;Empfänger rekonfigurieren
button_stop;Stop RTK;RTK stoppen
network;Network;Netzwerk
text_battery_charging_mode;Battery Charging Mode;Akku-Lademodus
start_station2;Start Station;Station starten
string_azimuth_string;Azimuth;Azimut
debug_imu;Debug IMU;Debuggen IMU
survey_start_station2;Start Station;Start-Station
elapsed_time;Elapsed time;Verstrichene Zeit
reset_rtk;Reset RTK;RTK zurücksetzen
button_store_offset;Store Offset;Offset speichern
text_ntt_map;NTT;NTT
text_dtt;DTT;DTT
trimmarkii;Trimmark II/IIe;Trimmark II/IIe
fix_ready;RTK Fix Ready;RTK Fix bereit
cant_program_session;Can\'t program auto-close file!;Kann Auto-Close-Datei nicht programmieren!
epoch_rejected_height_filter;Reject by Height Filter;Ablehnung durch Höhenfilter
click_sound;Click;Klicken Sie auf
reference_frame;Ref.Frame;Ref.Rahmen
string_verify_settings;Verify settings;Überprüfen Sie die Einstellungen
receiver_external_power;External Power, V;Externe Stromversorgung, V
jmt_controller;Controller;Steuerung
carrier;Carrier;Träger
jps_min;JPS Min;JPS Min
receiver_lan_ip;LAN IP;LAN IP
